id_pagina,campi sportivi,teatri,laboratori,palestre,officine,biblioteche,aule,locali di culto,mense detenuti
MII152284,0,1,2,1,0,1,6,2,0
MII157783,1,1,1,1,0,1,4,1,0
MII158895,3,0,1,5,0,6,8,4,0
MII158901,1,0,2,1,0,1,5,0,0
MII158910,0,1,0,0,0,2,17,1,0
MII158919,1,1,3,1,0,1,3,2,0
MII158924,2,1,2,3,2,2,8,2,3
MII158935,2,1,0,1,0,1,6,1,0
MII158941,2,0,1,0,0,1,8,2,0
MII158944,2,0,2,1,0,1,6,1,0
MII158945,3,0,1,0,2,1,1,1,0
MII158948,0,0,0,1,0,1,1,1,0
MII159053,0,0,0,0,0,1,5,2,0
MII159060,0,0,0,1,0,1,2,1,0
MII159065,1,1,1,2,0,2,1,1,0
MII159069,1,1,3,1,0,1,6,2,0
MII159314,2,1,2,1,1,1,12,1,0
MII160204,1,1,5,8,2,3,11,3,0
MII169535,3,1,4,1,3,1,4,1,1
MII172011,1,1,4,0,2,4,23,2,0
MII172187,1,1,0,0,0,1,2,0,0
MII172208,1,1,0,3,0,3,0,2,0
MII172222,1,1,1,1,1,1,4,1,0
MII172277,2,0,0,0,0,0,2,1,0
MII172320,1,1,5,2,0,2,8,1,2
MII172332,1,1,3,1,1,2,9,1,0
MII172344,1,1,5,8,1,3,5,8,0
MII172508,2,1,5,3,2,6,13,3,0
MII172580,0,0,0,2,0,1,2,1,0
MII172592,0,1,1,1,1,1,5,1,0
MII172610,1,0,3,1,1,1,5,1,0
MII172623,0,0,0,0,0,2,2,1,0
MII172814,1,0,1,0,0,1,5,1,0
MII172827,1,1,3,2,0,3,8,3,0
MII172835,1,1,2,2,1,2,5,2,0
MII173006,2,1,2,3,0,1,16,1,0
MII173063,0,0,0,1,0,1,3,1,0
MII173088,3,1,3,2,1,1,4,1,0
MII173101,1,1,2,2,0,1,5,1,0
MII173114,1,0,0,1,0,1,3,1,0
MII173237,1,1,3,1,2,1,2,1,2
MII173259,0,0,2,1,0,1,1,0,1
MII173265,1,0,1,0,0,2,12,2,0
MII173285,0,1,2,8,0,1,13,1,1
MII173301,1,0,3,1,0,1,13,1,0
MII173311,2,1,3,2,0,1,29,3,0
MII173324,1,1,1,1,1,1,4,1,0
MII173341,1,1,1,1,0,1,8,1,0
MII173356,0,0,0,1,0,1,1,1,1
MII173364,1,1,0,1,0,1,2,1,0
MII173688,1,1,1,1,1,1,5,2,0
MII173712,1,1,5,1,0,2,7,3,0
MII173747,3,1,2,2,1,2,5,1,0
MII173764,1,1,1,1,1,1,5,1,1
MII173784,1,1,2,1,1,1,1,1,3
MII173813,0,1,3,2,0,1,3,1,0
MII173994,0,0,1,2,1,0,1,1,0
MII174501,0,0,0,1,0,1,1,1,0
MII174686,1,1,1,2,0,1,6,2,0
MII174720,3,2,3,1,0,2,10,1,0
MII174825,1,1,3,1,0,1,0,1,5
MII176375,1,1,1,0,1,1,6,1,0
MII176403,0,0,4,1,0,2,9,3,0
MII176414,1,1,1,1,1,1,5,1,0
MII176424,1,1,0,1,0,1,4,1,0
MII176437,1,1,2,15,0,3,14,1,0
MII176451,0,1,0,0,0,1,4,1,0
MII176703,0,1,1,2,0,2,14,2,0
MII176714,2,1,2,0,0,2,5,1,0
MII176719,0,0,0,1,0,1,3,1,0
MII176743,0,0,0,1,0,1,1,1,0
MII176749,0,0,2,1,0,1,4,0,0
MII176759,0,1,1,1,0,1,2,1,1
MII176771,2,0,3,0,0,1,2,1,0
MII176781,1,1,0,1,1,1,7,1,0
MII176788,1,0,1,1,1,2,4,1,0
MII177107,2,1,3,1,1,1,4,1,1
MII177118,0,0,0,0,0,1,1,1,0
MII177134,1,1,0,1,0,1,3,1,0
MII177323,1,1,2,4,0,1,7,1,1
MII177332,0,1,1,2,0,1,2,1,0
MII177346,1,1,3,1,0,2,1,1,1
MII177384,0,1,1,1,0,1,2,1,1
MII177420,3,1,1,2,1,3,24,3,0
MII177436,0,0,0,0,0,1,0,1,0
MII177463,1,0,1,3,0,3,6,2,0
MII177498,1,0,0,1,0,0,0,0,0
MII177996,2,1,2,1,1,1,2,1,0
MII178003,1,0,0,0,0,1,2,1,0
MII178027,0,0,0,1,0,1,3,2,0
MII178035,0,1,0,1,0,1,2,1,0
MII178045,0,0,3,1,0,1,3,1,0
MII178072,1,1,1,1,0,3,2,1,0
MII178085,1,1,3,3,2,1,8,1,2
MII178115,0,0,0,1,1,1,1,1,0
MII178124,1,1,0,0,0,1,3,1,0
MII178141,2,0,0,1,0,1,5,2,0
MII178148,1,1,0,1,0,5,6,1,0
MII178501,0,0,2,1,0,1,2,1,0
MII178638,1,1,2,1,0,2,13,1,0
MII178659,1,1,9,3,0,4,11,3,0
MII178666,1,0,5,9,3,3,12,2,2
MII178672,7,2,12,8,5,8,14,6,5
MII178681,0,0,2,0,4,1,7,1,0
MII178700,1,0,2,5,1,2,4,2,0
MII179224,1,0,4,3,1,2,0,1,0
MII179237,0,1,14,2,0,2,12,4,0
MII179274,2,1,6,1,2,1,9,1,0
MII179280,1,1,2,1,4,1,2,1,0
MII179290,2,0,1,5,1,2,6,2,0
MII179299,1,1,3,1,5,1,12,1,1
MII179306,1,1,4,12,2,6,25,4,0
MII179324,1,1,0,00,0,2,13,1,0
MII179331,1,1,4,5,3,1,5,1,5
MII179342,1,1,0,1,0,1,4,1,0
MII179353,1,1,1,2,0,1,5,2,0
MII179364,1,1,1,2,0,3,0,3,0
MII179733,2,1,3,10,1,2,19,1,3
MII179781,1,2,0,2,0,2,4,2,0
MII179818,1,1,1,1,0,1,1,0,0
MII179830,no,1,3,1,1,1,5,1,0
MII179842,1,0,4,2,0,3,14,1,0
MII179856,0,0,2,0,0,1,2,1,0
MII179876,0,1,1,2,0,1,13,1,0
MII179896,1,1,0,1,0,1,1,1,0
MII179913,0,0,0,0,0,2,0,1,0
MII179932,1,1,1,2,0,1,7,2,1
MII179938,1,1,2,1,0,1,4,1,0
MII179945,0,1,0,0,0,1,2,1,0
MII179958,1,1,2,1,1,2,19,6,0
MII179965,2,1,2,1,0,1,3,1,0
MII179981,1,0,1,1,0,1,2,1,1
MII179988,2,0,2,3,1,1,5,0,0
MII179995,2,1,2,1,0,1,3,2,0
MII180001,2,0,1,0,0,1,2,1,1
MII180348,2,1,2,2,0,1,6,1,0
MII180356,2,1,3,1,0,1,3,1,1
MII180370,4,1,0,4,1,7,21,1,0
MII180380,1,1,4,2,3,2,12,2,0
MII180401,0,1,0,0,0,4,8,1,0
MII180415,2,1,2,1,1,1,13,2,0
MII180424,1,1,2,1,0,1,10,1,0
MII180426,1,1,1,2,1,2,10,1,0
MII180437,1,1,3,1,1,2,15,1,0
MII180451,0,1,3,1,0,1,5,1,1
MII180458,2,1,1,2,0,2,10,3,0
MII180465,1,1,0,3,1,3,3,1,0
MII180476,1,0,2,0,0,1,4,1,0
MII180487,2,1,2,5,1,6,10,3,0
MII181079,1,1,1,3,4,1,10,2,0
MII181091,1,1,0,3,1,4,6,4,3
MII181109,0,1,1,0,1,1,2,1,0
MII181115,1,1,0,1,0,1,2,1,0
MII181125,1,1,3,1,1,3,12,2,0
MII181346,0,0,1,1,0,1,2,1,0
MII181358,1,0,2,1,2,2,13,1,0
MII181371,1,1,2,4,3,4,10,1,0
MII181377,0,1,1,0,0,3,14,2,0
MII181385,1,1,2,1,2,1,10,1,0
MII181392,1,1,5,2,0,2,6,2,0
MII181401,0,0,1,0,0,1,3,1,0
MII181407,2,1,2,8,0,2,11,3,0
MII181417,0,1,0,1,0,1,14,1,0
MII181424,6,1,5,7,2,6,25,4,0
MII181434,2,1,1,0,1,1,4,1,0
MII181440,0,1,2,1,0,1,1,1,1
MII181625,2,1,4,5,0,1,15,3,0
MII181636,1,1,4,2,4,2,6,4,0
MII181645,2,0,1,4,1,2,5,1,0
MII181661,1,1,4,1,0,2,5,2,0
MII181672,1,0,0,0,0,1,5,0,0
MII181678,0,0,0,0,0,1,6,1,0
MII181681,1,1,2,1,2,1,3,1,0
MII181691,0,0,0,0,0,1,2,1,0
MII181703,0,0,0,1,0,1,2,1,0
MII181820,1,1,2,1,0,2,2,1,2
MII181839,1,1,1,3,0,1,8,1,0
MII181847,1,1,2,1,1,1,3,1,0
MII181863,0,0,2,3,0,1,8,1,0
MII181870,0,0,2,3,0,1,2,1,0
MII181880,1,1,3,5,0,4,5,2,0
MII181891,1,0,3,1,1,2,11,3,1
MII181908,1,1,1,0,0,2,18,1,0
MII181918,2,2,3,3,0,2,13,2,0
MII181924,1,1,2,1,0,1,5,1,0
MII181934,2,1,1,6,3,2,6,6,0
MII182339,1,1,1,1,0,2,7,2,0
MII182440,1,1,1,1,0,1,3,1,0
MII182910,0,1,2,1,0,2,6,2,0
MII182919,1,0,3,2,0,2,7,1,0
